Root,No of derevatives found,derevatives found,Root Length,Has Vowel,Full Text
دعب,19, الدُعَابَةُ دَعَبَ دَعْبَاً والدُعْبُوْبُ دُعْبُوْبَةٌ دُعِبَ مَدْعُوب الداعِبُ الدعَابَةُ الدَعَابِيْب دُعْبُوْبٌ ودَعَابِيْبُ دُعْبُوْباً دَعَابِيْبَ دُعْبُوْبٌ داعِبَةٌ ودُعْبية ودَعَبَتِ دَعْباً,3,no vowel, *دعب*	 الدُعَابَةُ المُزَاح وقد دَعَبَ دَعْبَاً والدُعْبُوْبُ النَشيطُ وحَنةٌ سوداءُ تُؤكَل وقيل هي أصْلُ بَقْلَة تُقْشَرُ وتُؤكَل والواحدة دُعْبُوْبَةٌ  والطًريقُ المُذَلَل وقد دُعِبَ وهو [مَدْعُوب] والضَعيفُ من الرجالوالأحْمَقُ ويُقال له الداعِبُ أيضاً ومَصْدَرُه الدعَابَةُ والجميع [الدَعَابِيْب] وغَنَمٌ دُعْبُوْبٌ  كثيرةٌ ودَعَابِيْبُ وليس إلا للغَنَم ومَروا دُعْبُوْباً أي مُتَقَاطِرِيْنَ فإنْ تَفَرقُوا قلتَ مَروا دَعَابِيْبَ ولَيْلَةٌ دُعْبُوْبٌ  طَويلة ورِيْحٌ داعِبَةٌ [ودُعْبية]  شَدِيدَة ودَعَبَتِ السيُوْلُ دَعْباً صَوتَتْ  العين والدال والميم
دمع,17, دَمَعَتْ دَمْعاً ودَمَعاناً ودُمُوْعاً والمدْمَعُ الدمْع دَمِعَةٌ الدَّمع َدمْعَتَها الدَّمْع الدمْع دَمّاعٌ ودماعُ والدماعُ دامِعَةٌ دمْعَانُ والدِّمَاعُ,3,no vowel, *دمع*	 دَمَعَتْ عَيْنُه دَمْعاً ودَمَعاناً ودُمُوْعاً والمدْمَعُ مُجْتَمعُ [[الدمْع]] في نواحي العَيْن وهي دَمِعَةٌ  أي سَريعةُ البُكاء كثيرةُ [الدَّمع] وما أكْثَر َدمْعَتَها لتأنيث [الدَّمْع] وفي المَثَل  أصْفى من [[الدمْع]]  وثَرَىً دَمّاعٌ  نَدٍ  ودماعُ الكَرْم  ما يَسيل منه أيامَ الرَّبيع والدماعُ  ما تَحَرَّكَ من رأس الصبي إذا وُلدَ وشَجًةٌ دامِعَةٌ  تَسيلُ دَماً وأدمَعْتُ الاناءَ أفَضْتَه واناءٌ دمْعَانُ والدِّمَاعُ مِيْسَمٌ سائلٌ من الناظِرِ إِلى المَنْخَرِ
عمد,45, عَمَدْته عَمْداً وتَعَمَّدْتُهُ واعْتَمَدْتُه عُمْدتَك والعَمُوْدُ والعِمَادُ وعَمَدٌ وعُمُدٌ عَمُودٍ وعِمادٍ وعَمَدْتُ عِماداً والعَمُوْدُ عَمُودُ وعَمُوْدُ عَمودِ وعَمُودُ العَمُودَيْن وعَمودُ عَمُودُ عَمُوْدٌ وعَميدٌ وعِمَادٌ العِمادُ والعَمِيْدُ يُعْمَدَ عَمِيدٌ ومَعْمود ومُعَمَد العَمِيدُ يَعِمدُكَ وعَمِدَ والعَمِدُ والمُعْمَدُ والعِمَادُ العِمَاد العِماد والعُمُدانُ والعُمُدانِي والعُمد عَمِدٌ عَمِدٌ عَمِدٌ وعَمِدَتِ,3,no vowel, *عمد*	 [عَمَدْته] عَمْداً وتَعَمَّدْتُهُ [واعْتَمَدْتُه] قَصَدْته وُيقال الْزَمْ [عُمْدتَك] أي قَصدك والعَمُوْدُ والعِمَادُ واحِدٌ وجَمْعُها أعْمِدَة وعَمَدٌ وعُمُدٌ  ويُقال لأصحاب الأخْبِيَةِ الذين لا ينزلون غيرَها هم أهْلُ عَمُودٍ وعِمادٍ  وعَمَدْتُ الشيءَ أي أقَمته وأعْمَدْتُه جَعَلْت تحتَه عِماداً والعَمُوْدُ عِرْقُ الكَبِد الذي يَسْقِيهما  وُيقال للوَتيْنِ عَمُودُ السحْر وعَمُوْدُ البَطْنِ قيل هو الظَهْرُ وفي الحديث    أيما جالِبٍ جَلَبَ على عَمودِ بَطْنِه   وقيل عِرْقٌ مَمْدُودٌ من لَدُنِ الرهَابَةِ الى دوينِ السرة وعَمُودُ السِّنانِ ما تَوَسَّطَ شَفْرَتَيْه من أصلِه وُيسَمّى رجْلا الظلِيْم [العَمُودَيْن] وعَمودُ الأذُنِ مُعْظَمُها وقِوامُها وكذلك عَمُودُ الأمْر وُيقال للرئيس عَمُوْدٌ وعَميدٌ وعِمَادٌ وقد يُجمعُ [العِماد]ُ في هذا على العَمَائد والعَمِيْدُ الذي لا يستطيع الجُلوسَ من مَرَضِه حتى يُعْمَدَ بِوَسائِدَ ومنا قَلْبٌ عَمِيدٌ [ومَعْمود] [ومُعَمَد] وقيل بل العَمِيدُ الذي يَصِلُ الداءُ إلى جَوْف ويُقال ما يَعِمدُكَ أي يُوجِعك وعَمِدَ من الوَصَب اشْتَكى ومنه قَوْلُ أبي جَهْل أعْمَدُ من سيد قَتَلَه قَوْمُهُ ومَعْناه ليس ذلك بِعَارٍ فأشْكُوه وقيل بل هو من قولهم أنا أعْمَدُ من كذا أي أعْجَبُ وقيل معناه هَلْ زادَ على ذلك ويقولون أعْمَد ُمن كَيْل مُحِق  أي هَلْ زِدْنَا على هذا والعَمِدُ المُتَمادي في الغَضَب والمُعْمَدُ الطوِيلُ والعِمَادُ الطوْل ومنه قَوْله عز وجَلً  إرَمَ ذاتِ [العِمَاد]  وقَوْلُهم رفِيْعُ [العِماد] والعُمُدانُ [والعُمُدانِي] [والعُمد] المُمْتَلىءُ شَباباً العَبْلُ  وبَعيرٌ عَمِدٌ وسَنَامٌ عَمِدٌ  إذا كان عظيماً فحُمِلَ عليه ثِقْلٌ فتكسرَ وماتَ شَحْمُه فيه وثَرَىً عَمِدٌ  مُبْتَل [وعَمِدَ]تِ الأرْضُ إذا رَسَخَ فيها المَطَرُ إلى الثرى
معد,34, المَعِدَةُ المِعْدَة ومُعِدَ مَعِدَتُه المَعِدِ والمِعَد وتَمَعْددَ وتَمَعْدَدَ وتَمَعْدَدَ مَعَده مَعْد وتَمَعْدَدَ مَعد والمُتَعْدِدُ والمَعْدُ ومَعَدْتُ مَعد وَمَعدَهُ ومَعَدَ مَعْداناً مَعْدٌ مَعُود ومَعده المَعْدُ ومَعَدَه وامْتَعَدَه امْتَعَدَ ومَعَدَ وامْتَعدَه والمَعدُ ومَعْدَانُ المَعدَة بالمُعَيْدِيَ مَعد,3,no vowel, *معد*	 المَعِدَةُ لُغَةٌ في [المِعْدَة] ومُعِدَ دَوِيَتْ [مَعِدَتُه] ويجوز جَمْعُه على المَعِدِ [والمِعَد] وتَمَعْددَ من مَرَضِه بَرأ وتَ[مَعْد]َدَ المَهْزُولُ أخَذَ في السمَن وتَ[مَعْد]َدَ الصَّبيُ نَعِمَ وقَوِيَ وغَلُظَ وكأنَه من [مَعَده] عَيْشٌ  أي غَذَ  وجِسْمٌ [مَعْد] كَثيرُ اللَحْم وتَ[مَعْد]َدَ تَصَلَب وصَبَرَ على عَيْش بَني [[[مَعد]]] أو تَحَوَلَ إليهم والمُتَعْدِدُ  المُتَباعِد والمَعْدُ الغَضُ من الثمار والفَسَادُ أيضاً ومَعَدْتُ الدَلْوَ نَزَعْتَها ونَزع [[[مَعد]]] وَ[[[مَعد]]]َهُ الحُب أي وَقَذَه ومَعَدَ مَعْداناً أسْرَعَ وسَيْرٌ [مَعْد]ٌ  وناقَةٌ [مَعُود] [ومَعده] جَره بخُصْيَيْه ولا يكون المَعْدُ إلا في ذلك [ومَعَدَ]ه [وامْتَعَدَه] اخْتَلَسَه ومنه امْتَعَدَ الذَئبُ الثاةَ إذا افْتَرَسَ ومَعَدَ لحْمَه [وامْتَعدَه] نَهَسَه والمَعدُ من الفَرَس ما بين كَتِفَيْه إلى مُؤخرِ المَتْنَيْن وقيل مَوْضِعُ عَقِبِ الفارِس وهو أيضاً عِرْقٌ في المَنْسِج ومَعْدَانُ اسْمُ رَجُل ويجوز أنْ يكونَ من سعة [المَعدَة] وفي المَثَل   لإنْ تَسْمَعَ بالمُعَيْدِيَ خَيْرٌ من أنْ تَراه  بتخفيف الدال وأصْلُه رَجُلٌ من كِنَانة وقيل من نَهْدٍ وكان عظيمَ الهَيْبَة صغيرَ الجسم وحُكِيَ أيضاً بتشديد الدال؛ كأنه مَنْسُوبٌ إلى [[[مَعد]]] مُصَغرَ
مدع,2, المَدْاَع ومَيْدَعَانُ,3,no vowel, *مدع*	 مُهْمَلٌ عند الخَليلوذَكَر الخارْزَنْجِي [المَدْاَع] صغَارُ الكَنْعَدِ وهو ضَرْبٌ من سَمَكِ البَحْر ومَيْدَعَانُ اسْمُ مَوْضِع
دعم,10, الدَّعْمُ بدِعامَةٍ تَدْعَمُه دِعامَةُ الدعامَةِ والدعَامَتَان الدَعَام لَدُعْمِي ودعْمِي دَعْمَ,3,no vowel, *دعم*	 الدَّعْمُ أنْ تًقِيْمَ المائلَ وتُقَويَه بدِعامَةٍ [تَدْعَمُه] بها من خَلْفِه وبها يُشبه السيدُ فيُقال هو دِعامَةُ قَوْمِه أي به يَتَقووْنَ وجَمْعُ الدعامَةِ الدعائم [والدعَامَتَان] خَشَبَتا البَكْرَةِ بمَنْزِلةِ القائمتَيْن من الطيْن ودَعَائمُ الامُوْرِ ما يكونُ قِوامُها بها ويُقال للشدِيْدِ [الدَعَام] إِنَّه [لَدُعْمِي] [ودعْمِي] اسْمُ أبي قَبيلةٍ ولا دَعْمَ لي أي لا سِمَنَ لي وقيل لا قوةَ
عدم,4, عَدِمْتُه عَدَماً وعُدْماً والعَدِيْمُ,3,no vowel, *عدم*	 [عَدِمْتُه] عَدَماً وعُدْماً فَقَدْته والعَدِيْمُ الفَقيرُ وأعْدَمَ صَارَ ذا علْم والعَدَائمُ نَوْع من الرُّطَبِ بالمدينة يكونُ في آخِرِ زَمان الرطَب العين والتاء العين والتاء والذال
ذعت,6, ذعت ذَعَته ذَعْتاً الذَعْتُ وذَعَته ذَعْتاً,3,no vowel, *[ذعت]*	 [ذعت] [ذَعَته] في التُراب ذَعْتاً أخَذْتَ بِرأْسِه ووَجْهِه فَمعَكْتَه في التُراب كما يُغَطُّ الشًيءُ في الماء لا يكونُ الذَعْتُ إلا كذلك [وذَعَته] ذَعْتاً خَنَقْتَه حتى قَتَلْتَه العين والتاء والراء
رتع,9, الرًتْعُ الرتْعُ رِتَاع راتِعُوْنَ ومُرْتِعُون ورَتِعُون الرًتْعَةُ والرًتَعَةُ ورَتَعَ,3,no vowel, *رتع*	 الرًتْعُ الأكْلُ والشُرْبُ رَغَداً في الريْف لا يكونُ الرتْعُ إلا في الخِصْب يُقال إبل [رِتَاع] وقَوْم راتِعُوْنَ [ومُرْتِعُون] [ورَتِعُون] وأسْمَنَه الرًتْعَةُ والرًتَعَةُ - بالفتح - أيضاً وأرْتَعَتِ الأرْضُ أشْبَعَتِ الغَنَمَ ورأيتُ أرْتاعاً من الناس أي كَثْرَة منهم ورَتَعَ في مالِهِ تَقلَبَ أكْلاً وشُرْباً
ترع,10, فاترَعَ وتَرِعَ وتَرَعَه تَرْعاً والتَّرْعُ والمُتَتَرًعُ تَرِعَ تَرَعاً والترْعَة التُرَع,3,no vowel, *ترع*	 أتْرَعَ الاناءَ مَلأه فاترَعَ وتَرِعَ [وتَرَعَه] عن وَجْهِه ثَنَاه تَرْعاً والتَّرْعُ الاقْتِحامُ في الامور مَرَحاً والرًدُّ أيضاً  والمُتَتَرًعُ إِلى الشَر المُتَسَرع وقد تَرِعَ تَرَعاً [والترْعَة] فَمُ الجدول والبابُ الصغير والدرجة والروضة والجَميعُ [التُرَع]
عتر,29, عَتَرَ عَتْراً وعَتَرَاناً العَوَاتِر وعَتَرْتُ العَتِيْرَةَ والمَعْتُورةَ والعِتْرَ عِتْراً والعِتْرُ وعَتَرْتُه والعُتُوْرُ والعِتْرُ والعَتُوْرُ والعَتَارُ وعَتْرُه العِتْرُ وعِتْرُ لِعِتْرِها والعِتْرُ وعِتْرُ وعَتَرٌ وعِتْرَةُ وعِتْرَةُ العِتْرَةِ وعِتْرَةُ عِتْوَارَةٌ وعِتوَارَةُ وعَاتِرُ,3,no vowel, *عتر*	 عَتَرَ الرُّمْحُ عَتْراً وعَتَرَاناً اضْطَرَبَ واهتزَ وقيل الرِّماحُ [العَوَاتِر] هي الصلاب وعَتَرْتُ الشاةَ ذَبَحْتَها وكانوا يذبَحون الشاةَ في رَجَب ثم يصبُون دَمَها على رأس الصَنَم هذا في الجاهليَّة ويُسَمُّون تلك الشاةَ العَتِيْرَةَ والمَعْتُورةَ والعِتْرَ وقد سًمَوا الصَّنَمَ نفْسَه عِتْراً أيضاً والعِتْرُ الشَديد الصُلْبُ [وعَتَرْتُ]ه شدَدْتَه والعُتُوْرُ الصًلاَبَةُ والعِتْرُ والعَتُوْرُ والعَتَارُ الذكَرُ [وعَتْرُه] قِيامُه والكَلامُ العِتْرُ شِبْهُ الهَذَيان وعِتْرُ كل شيءٍ  نِصَابُه وأصْلُه وفي المَثَل  عَادَتْ [لِعِتْرِها] لَمِيْس   والعِتْرُ شَجَرَةٌ صغيرة لها وَلد صِغارٌ مثلُ وَرَقِ المَرْدَقُوْش  وبَقْلَة إِذا طالَتْ قُطِعَ أصْلُها فيَخْرج منه لَبَن والمِسْكُ أيضاً وعِتْرُ المِسْحَاةِ خَشَبَتُها التي تُسَمّى يَدَ المِسْحاة وعَتَرٌ  أحَدُ أجْداد أبي موسى الأشْعَرِيّ وعِتْرَةُ الرًجُل عَشيرتُه وأصْلُه العَمُوْدُ الذي تَفَرعَتِ الغُصونُ منه وعِتْرَةُ الثغْر  إِذا رَقَّتْ غُرُوْبُ الأسنانِ وثَقَبَتْ وجَرى عليها الماءُ وجِرْوُ العِتْرَةِ قِثّاءُ اللَّصَفِ وعِتْرَةُ الضّب شَجَرَةُ العَرْفَج وهي لَينَة يَتَقلًبُ عليها الضّب ورَجُلٌ عِتْوَارَةٌ  قَصيرٌ مع غِلَظٍ وَيبْس لا يكونُ إلا كذلك وعِتوَارَةُ حَيِ من كِنانة وعَاتِرُ بِنْتُ نزْوان
عرت,3, العَراتُ عَرَتَ وعَرِتَ,3,no vowel, *عرت*	 أهْمَلَهُ الخَليلُ  وحكى الخارْزَنْجِيُّ العَراتُ الشَديدُ الاضطِرابِ وقد عَرَتَ وعَرِتَ بفَتْح الراء وكَسْرها العين والتاء واللام
عتل,18, العَتَلَةُ العَتَلُ والعَتَلُ والعَتْلُ عَتَلَةٌ والعُتُلُّ عُتِلَ عتُل وعَتَلَه يَعْتِلُه ويَعْتُلُه عَتْلاً والعَتلُ والعَتَلُ عَتَلَة والعَتِيْلُ والعِتْوَلُّ والانْعِتَالُ,3,no vowel, *عتل*	 العَتَلَةُ بَيْرَمُ النَجّارِ  والمِرْزَبةُ والجَميعُ العَتَلُ والعَتَلُ والعَتْلُ القِسِيُ الفارِسِيةُ والواحدةُ [عَتَلَة]ٌ  والعُتُلُّ الأكُوْلُ المَنُوْعً الغَليظُ كأنه عُتِلَ باللحم أي رُمِيَ به وبَكْر [عتُل] مُصَعبٌ  [وعَتَلَه] [يَعْتِلُه] [ويَعْتُلُه] عَتْلاً قاده قَوْداً عَنيفاً والعَتلُ العَظيمُ المُتَسَرع إلى الشر والعَتَلُ القُلاَعَةُ تُقْلَعُ من الأرض والواحدة [عَتَلَة]  والعَتِيْلُ - في لُغَة طَيئ - الأجِيْرُ وهو أيضاً التاجُ والجَميعُ عُتلاء والعِتْوَلُّ  الذي ليس عنده غَنَاءٌ للنساء والانْعِتَالُ الليْنُ والانْقِيَاد
تلع,20, التَلَعُ تَلَعَ وتَلَعَ تَلَعَ اتْلَعَ المُتْلِعُ تُتْلِعُ تَلِيع التلَع والتلاَعَةُ والتَلِيْعَةُ مُسْتَتْلِعاً تَلِعٌ والتلِعُ يَتَتَلَعُ يَتَتَالَعُ يَتَتَالَعُ ومُتَالِعٌ والتَلْعَةُ تَلْعَتِه,3,no vowel, *تلع*	 التَلَعُ ارتفاعُ الضحى يُقال تَلَعَ النَهارُ أي ارتَفَعَ وتَلَعَ فُلانٌ  أخْرَجَ رأسَه من شيءٍ كان فيه وكذلك تَلَعَ الشاةُ أخْرَجَ رأسَه من الكِنَاس ويُقال اتْلَعَ رأسَه فَنَظَرَ؛ كما يُقال أطْلَعَ ومنه المُتْلِعُ  الحَسْناءُ من النَساء لأنًها تُتْلِعُ رأسَها تَعَرضُ للناظِرِين وجِيد [تَلِيع] وأتْلَعُ بَيِّنُ [التلَع] أي طَويل ورجلٌ أتْلَعُ أيضاً والتلاَعَةُ والتَلِيْعَةُ الطَّويلةُ العُنُق وكُل مَوْضِع مُرْتَفِع أيضاً ورأيْتُه مُسْتَتْلِعاً للخَبَر  أي شاخِصاً وسَيِّد تَلِعٌ  كثيرُ التَّلَفًّتِ حَوْله والتلِعُ - في بعض المعاني - شَبيهٌ بالترِع ولَزِمَ مكانَه لا يَتَتَلَعُ ولا يَتَتَالَعُ أي لا يَرْفَعُ رأسَه للنُهوض ولا يَبْرَح وهو يَتَتَالَعُ في مَشْيِه أي يمدُ عُنُقَه ويَرْفَعُ رأسَه ومُتَالِعٌ  اسْم جَبَلً  والتَلْعَةُ أرض مُرْتَفِعَةٌ غَليظةٌ يتردَدُ فيها السًيْلُ إلى بَطْنِ الوادي و هو لا يُوْثَقُ بِسَيْل [تَلْعَتِه]  إذا كانَ غير َصَدُوْق في أخْبارِه العين والتاء والنون
عنت,17," عَنِتَ عَنَتاً وتَعَنَتُّهُ وعَنِتَ والعَنَتُ مَعْنَتَة والعَانِتُ العَنُوْتُ وعُنتوْتُ والعُنتوْتُ وعَنْتَتَ مُعَنْتِت مُعَنْتِتاً والعُنتوْتُ والعُنُوْتُ العُنْتُوْتِ العُنْتوت""",3,no vowel," *عنت*	"" عَنِتَ فُلانٌ  لَقِيَ عَنَتاً أي مَشَقَّةً وأعْنَتَه أيضَاَ وتَعَنَتُّهُ سألتَه عن شَيءٍ أرَدْتَ به اللَبْسَ عليه والمَشَقَةَ وعَنِتَ العَظْمُ المجْبُوْرُ وأعْنَتَه كذَا والعَنَتُ الهَلاك ويُقال الزنا والاثْم وفي الحديث   لا تَسبوا أصحابَ النبيَ- عليه السلام - فإِن سَبًهُم [مَعْنَتَة]  والعَانِتُ من النساء كالعَانِس والأكَمَةُ العَنُوْتُ الطويلة وعُنتوْتُ القَوْس موضعُ الكُظْرَةِ حيث يَقَعُ فيه الوَتَرُ والعُنتوْتُ  أوَلُ كُلَ شيءٍ  واللحْيَةُ جَميعاً وعَنْتَتَ قَرْنُ العَتُود شَصَرَ وارْتَفَعَ وعَتُوْدٌ [مُعَنْتِت] ومَالَكَ مُعَنْتِتاً عَني أي مُعْرِضاً والعُنتوْتُ والعُنُوْتُ الجَبَلُ  قال الخارْزَنْجِي ورَوَى أبو الوَازع قَوْلَ أسَدِ بن ناعِصَةَ إن نُوْرَ اللهِ أضْحَى من الشَـم		س وأين الشِّعْرَى من العُنْتُوْتِ ولم يُفسر العُنْتوت"""
نعت,14," النَّعْتُ نَعْتُ النعْت نَعْتُ نَعْتٌ نَعِيْتٌ النَّعَاتَة؛ نَعُتَ لَنُعْتَةٌ لَنُعْتَة وانْتَعَتَتِ نَعَتَتْ بالنّاعُوْتِ الناعوت""",3,no vowel," *نعت*	"" النَّعْتُ الوَصْفُ وقيل هو وَصْفُكَ الشيءَ بما فيه إلى الحُسْنِ مَذهبُه؛ إلا أنْ يَتَكَلَّفَ مُتَكَلٌفٌ فيقول هو نَعْتُ سَوْء إلا أنً العَرَبَ العارِبَةَ تقول للشَيء إذا كان على استِكْمال [النعْت] وجَيِّداً بالِغاً هو نَعْتُ يُقال فَرَسٌ نَعْتٌ نَعِيْتٌ بَينُ النَّعَاتَة؛ وقَد نَعُتَ وِإنَ عَبدَكَ [لَنُعْتَة]ٌ وإن أمَتَكَ [لَنُعْتَة] أي غايَة مُرْتفِعة وانْتَعَتَتِ المرأةُ وغيرُها أي كأنَها نَعَتَتْ نفْسَها حُسْناً قال الخارْزَنْجِيُّ ورَوى أبو الوازع بَيْتاً لأسَدِ بن ناعِصَةَ وهو واحضُروا العِيْدَ بالسعَانِين غَدْواً		حينَ يَعْلُو النّاقُوسُ بالنّاعُـوْتِ ولم يُفَسرِ الناعوت"""
عتن,1, عَتَنْتُهُ,3,no vowel, *عتن*	 أهْمَله الخَليل  وحكى الخارْزَنْجِيُّ عَتَنْتُهُ إلى السِّجْن أعْتِنُه وأعْتُنُه بمعنى عَتَلْتَه أي قدْتَه
نتع,2, نَتَعَ نُتُوْعاً,3,no vowel, *نتع*	 يُقال نَتَعَ العَرَقُ نُتُوْعاً وهو شِبْهُ نَبَعَ؛ إلا أنَ التاءَ فيه أحْسَن العين والتاء والفاء
عفت,7, عَفَتَ عَفْتاً عَفَتَ مِعْفَتٌ وعَفَتَني عِفِتَان عفتيت,3,no vowel, *عفت*	 عَفَتَ كَلاَمَه عَفْتاً لَكَنَه وكَسَرَه وكذلك عَفَتَ يَدَه كَسَرَها ولَوَاها وهو مِعْفَتٌ  يكْسِرُ كل شيء [وعَفَتَني] عن حاجَتي حَبَسَني ورجلٌ [عِفِتَان] وصِفِتَان أي غَليظٌ شَديدٌ جَافٍ  ورَجُلٌ صِفْتِيْت ولا يُقال [عفتيت] العين والتاء والباء
عتب,59, العتبًة العَتبُ العَتَبات عَتَبْتُ تَعَتبْتُه عَتَبَتَه وتَعتبَ عَتَبَةَ عَتَبة عَتبْتُ عَتَبَاتٍ عَتَبَاتٍ والمَعَاتبُ والمَعْتِبُ عَتَبَ وعَتَبَةُ عَتَبْتُ عَتَبَةِ عَتَبَةٍ عَتَبٍ والعَتَبُ عَتَب عَتِيْبَةٌ عَتِيْبٌ عَتبَ والاعْتِتَابُ عَتَبَ واعْتَتَبَ والاعْتِتَابُ العُتْبى المُعَاتَبَة وعَتَبَ يَعْتِبُ ويَعْتُبُ عَتَبَاناً وعتْباً عَتَبَات عَتَبَ يَعْتِبُ ويَعتُبُ عَتْباً ومَعْتِبَةً وعاتَبْتُه وتَعتبْتُه واسْتَعْتَبَ العُتْبى عاتَبْتُه عَيْتَاباً واسْتَعْتبَ يُعْتَبَ عِتْباناً وعُتَيْبٌ وعَتِيْبٌ وعُتْبَةُ وعَتابٌ وعِتْبَان ومُعَتِّب وعُتَيْبَةُ وعَتابَةُ,3,no vowel, *عتب*	 [العتبًة] أعلى الباب مقابلاً للأسْكُفَة و الجميعُ العَتبُ و [العَتَبات] وما [عَتَب]ْتُ بابَه ولا سَكِفْتُه ولا [تَ[عَتبْتُ]ه] ولا تَسَكفْتُه أي لم أطَأْ أسْكُفتَه ولا [[[عَتَب]َ]تَه] ويكون ذلك في الدخول والخُروج وتَعتبَ لَزِمَ [[عَتَب]َ]ةَ البابِ لا يَبْرَح وكُل مرْقاةٍ من الدرَج [عَتَبة] يُقال عَتبْتُ [[عَتَب]َ]اتٍ  أي اتخَذْتَ مَرْقَيَاتٍ  ويُشبه بذلك ما يُشْبِهُه من [[عَتَب]َ]اتٍ في الجبال وأشْرَافِ الأرْض والمَعَاتبُ الطُّرُق والمَعْتِبُ ما بيْنَ الجَبَلَيْن؛ وكأنه من [عَتَب]َ من مكانٍ إلى مكانٍ ودرَجَةٍ إلى درَجَةٍ  واسْمُ جَبَل والمَنْزِلُ لا ماءَ به [وعَتَبَ]ةُ الوادي أقصاه ويُقال [عَتَب]ْتُ إلى [[عَتَب]َ]ةِ الوادي وحُمِلَ على [[عَتَب]َ]ةٍ كَريهَةٍ وعلى [عَتَب]ٍ كَرِيْهٍ  من الشرِّ والعَتَبُ ما دَخَلَ في الأمْر يُفسدُه وما بين الوُسْطى والبِنْصَر كما أنً الفِتْرَ ما بين الابْهام والسَّبابَة وسيْفٌ ذو [عَتَب] أي ذو الْتِواء عن الضريبة وقَرْيَةٌ عَتِيْبَةٌ  قَلًيلةُ الخَيْر ورَجُل عَتِيْبٌ  مَتْروكٌ لا يُلتَفَتُ إليه وما عَتبَ أنْ فَعَلَ كذا أي ما أبْطَأ والاعْتِتَابُ أنْ تَعْلُوَ فوق الشيءِ المُرْتَفِع والاخْتِصَارُ في الطَّريق جميعاً يُقال [عَتَب]َ في الحديث واعْتَتَبَ أي حَدثَ بما احتاجَ إليه واخْتَصَرَه والاعْتِتَابُ الرجُوع والمَصِير ومنه [[العُتْبى]] في [المُعَاتَبَة] وعَتَبَ المَعْقُولُ أو الطالِعُ مَشَى على ثَلاثِ قوائم يَعْتِبُ ويَعْتُبُ [[عَتَب]َ]اناً وعتْباً ويُقال ذلك للأقطع أيضاً وهذا تشبية كأنه يمشي على [[عَتَب]َ]ات الدرَج وكذلك [عَتَب]َ عليه من الموجدَة يَعْتِبُ ويَعتُبُ عَتْباً ومَعْتِبَةً وبَيْنَهُم أعْتُوبة [وعاتَبْتُه] [وتَعتبْتُه] فأعْتَبَ واسْتَعْتَبَ وأعْطى [[العُتْبى]] وأهْلُ اليَمن يقولون [عاتَبْتُه] عَيْتَاباً  واسْتَعْتبَ طَلبَ أنْ يُعْتَبَ وما وَجَدْتُ عنده عِتْباناً  إذا ذَكَرَ انه أعْتَبَ فلم يُوْجَدْ له بَيَانٌ  وعُتَيْبٌ وعَتِيْبٌ  اسْما قَبيلتَيْن وعُتْبَةُ وعَتابٌ [وعِتْبَان] [ومُعَتِّب] وعُتَيْبَةُ من أسْماء الرجال وعَتابَةُ من أسْماء النسَاء
تعب,4, تَعِبٌ مُتْعَبٌ؛ تَعَباً واتْعِبَ,3,no vowel, *تعب*	 رَجُلٌ تَعِبٌ مُتْعَبٌ؛ تَعَباً واتْعِبَ العَظْمُ المجْبُوْرُ مِثْلُ أعْنِتَ 
بتع,8, البِتْعُ بِتْعَكُم والبَتِعُ البَتَعُ باتِعَةٌ وبَتِعَ وبَتِعَ بُتُوعاً,3,no vowel, *بتع*	 البِتْعُ نَبِيْذٌ يُتَخَذُ من العَسَل وقيل هو سلالَةُ العِنَب يُقال أبْتِعُوا [بِتْعَكُم] والبَتِعُ الشَّديدُ المَفَاصِل والمَوَاصِل من الجَسَد وكذلك الأبْتَعُ والمَصْدر البَتَعُ وشَفَةٌ باتِعَةٌ - ويُقال بالثاء مُعْجَمَةً أيضاً- ظاهِرَةُ الدم وبَتِعَ في الأرض تَبَاعَدَ فيها وبَتِعَ منه بُتُوعاً وانْشًرَ انْقَطَعَ ومررْتُ بهم أجْمَعِين أكْتَعيْنَ أبْتَعِين على الإتْباع
بعت,0,,3,no vowel, *بعت*	 أهْمَلَه الخَليل وحَكَى الخارْزَنجيُّ هو مَبْعُوث في معنى مَبْعُوثٍ كما يُقال خَبِيْتٌ  بمعنى خَبيثٍ 
